,Booling,,發繦戈,,發繦щ獺,,KD ユ,,MACD ユ,,А絬ユ,
布絏,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计
1101,-5.93%,27,17.57%,116,385.12%,190,72.88%,49,8.80%,14,63.80%,50
1102,36.91%,17,17.04%,181,-277.12%,167,92.20%,49,8.01%,15,33.73%,41
1103,105.79%,18,73.49%,151,0.00%,0,161.79%,42,33.37%,16,62.59%,42
1104,-58.79%,32,-3.75%,47,0.00%,0,36.49%,47,-23.72%,15,-1.55%,39
1108,5.31%,33,-102.08%,84,0.00%,0,73.34%,49,-9.99%,14,-9.69%,40
1109,85.77%,23,-39.83%,89,0.00%,0,114.64%,53,25.84%,14,67.05%,43
1110,112.87%,46,-18.12%,16,0.00%,0,24.39%,61,-16.49%,13,44.73%,46
1201,35.04%,25,198.10%,141,52.21%,3,106.56%,48,20.92%,18,12.69%,37
1203,34.31%,19,25.69%,84,0.00%,0,26.18%,52,9.32%,19,36.98%,44
1210,98.06%,19,282.63%,141,92.21%,48,83.83%,53,-2.65%,14,57.78%,48
1213,-47.41%,40,-38.43%,5,0.00%,0,10.65%,38,-46.29%,10,-28.23%,30
1215,-75.55%,25,199.55%,111,177.82%,64,101.36%,47,-15.17%,15,23.26%,42
1216,29.04%,17,-13.53%,205,-167.23%,141,63.12%,50,3.52%,18,32.39%,43
1217,39.40%,21,-29.48%,221,0.00%,0,52.70%,50,29.63%,19,25.87%,45
1218,128.83%,18,-199.98%,200,0.00%,0,151.17%,45,68.06%,14,-9.76%,39
1219,43.86%,25,165.50%,95,0.00%,0,27.31%,46,18.38%,19,31.47%,42
1220,-16.31%,26,19.88%,39,0.00%,0,23.48%,48,-27.55%,18,-4.06%,39
1225,-20.43%,21,-112.29%,67,0.00%,0,62.66%,41,1.45%,12,-22.57%,35
1227,-30.20%,28,-599.07%,163,13.02%,17,51.93%,46,-8.40%,13,-19.71%,44
1229,55.26%,14,374.24%,143,61.60%,34,90.94%,48,24.06%,14,29.75%,39
1231,8.69%,24,89.05%,189,0.00%,1,63.19%,44,7.67%,12,22.02%,43
1232,33.26%,13,46.23%,92,-5.51%,5,53.96%,48,26.92%,13,40.46%,42
1233,-16.15%,28,-46.69%,38,0.00%,0,4.04%,56,3.11%,16,13.90%,50
1234,19.31%,18,-29.48%,65,0.00%,0,26.48%,51,-3.16%,16,3.24%,41
1235,29.91%,23,-290.34%,40,0.00%,0,50.32%,50,25.27%,17,-6.90%,51
1236,-19.28%,30,-60.61%,11,0.00%,0,9.98%,57,-32.52%,17,-4.97%,44
1256,115.34%,15,102.47%,75,-16.50%,4,109.70%,47,8.48%,16,57.64%,45
1301,34.99%,18,-417.53%,184,-136.74%,160,50.02%,49,-12.48%,18,-3.71%,45
1303,-29.07%,23,-160.71%,230,142.10%,168,61.87%,50,-5.91%,21,11.93%,47
1304,94.73%,31,-3.02%,150,-90.07%,9,55.26%,44,11.65%,18,-37.56%,37
1305,120.86%,19,-182.95%,119,-301.55%,67,123.30%,51,19.06%,16,20.75%,50
1307,17.45%,41,-174.18%,102,-8.77%,1,27.75%,49,-34.52%,15,8.96%,44
1308,-19.57%,24,256.53%,228,0.00%,0,15.00%,47,5.78%,16,58.75%,37
1309,-3.93%,25,-39.34%,163,-17.01%,3,127.57%,45,-11.63%,16,-9.85%,38
1310,135.10%,21,-16.43%,154,-128.29%,28,82.83%,51,7.00%,17,-18.89%,46
1312,100.13%,24,75.42%,114,-65.50%,75,113.91%,44,12.11%,18,-13.76%,42
1313,-7.21%,20,226.68%,152,-45.40%,3,69.35%,47,-26.90%,14,32.96%,47
1314,45.31%,31,307.39%,141,0.24%,39,82.33%,45,15.18%,16,28.51%,44
1315,51.14%,25,4.06%,37,0.00%,0,50.75%,52,21.14%,15,71.81%,50
1316,6.23%,26,96.29%,136,0.00%,0,95.04%,44,-43.45%,15,43.02%,48
1319,61.38%,29,12.83%,119,-159.11%,49,61.63%,46,-1.81%,17,4.67%,43
1321,119.80%,26,264.84%,161,0.00%,0,67.81%,44,30.95%,13,3.59%,42
1323,18.25%,23,362.38%,171,-6.35%,3,35.47%,47,-1.20%,14,33.72%,46
1324,7.46%,33,46.07%,23,0.00%,0,29.01%,53,-15.01%,18,28.23%,40
