stockiid,Booling,Booling_trade,追隨外資,forei_trade,追隨投信,invers_trade,KD 交叉,KD_trade,MACD 交叉,MACD_trade,均線交叉,MA_trade,type,Price
1708,0.4805,25,-2.74,160,-0.13,13,0.40,50,-0.14,20,0.14,43,化學工業,TW
1709,-0.847,33,0.38,118,-0.03,2,0.52,45,-0.03,17,0.09,46,化學工業,TW
1710,0.7151,25,-6.70,176,-3.91,43,0.84,44,-0.12,17,-0.21,43,化學工業,TW
1711,0.4513,30,-4.42,240,0.00,0,0.45,42,-0.12,15,0.22,44,化學工業,TW
1712,0.1869,14,0.01,166,-0.12,7,0.38,55,0.17,16,0.42,39,化學工業,TW
1713,0.3204,24,0.50,36,0.00,0,0.36,54,0.09,17,0.39,46,化學工業,TW
1714,0.4722,26,-4.54,195,0.00,2,0.66,42,0.29,21,0.44,46,化學工業,TW
1717,-0.0324,20,-1.68,163,5.36,36,0.26,50,-0.15,14,0.15,42,化學工業,TW
1718,0.2177,21,-1.82,159,0.00,0,1.11,50,-0.19,16,0.02,43,化學工業,TW
1721,0.1924,37,-1.56,144,0.00,0,0.26,51,-0.54,15,0.00,45,化學工業,TW
1722,0.7494,19,-1.03,141,0.39,80,0.58,44,0.32,17,0.11,45,化學工業,TW
1723,-0.0137,25,0.24,204,0.05,13,0.18,52,-0.08,15,0.19,43,化學工業,TW
1724,0.1314,25,-0.30,17,0.00,0,0.11,52,-0.17,18,-0.01,40,化學工業,TW
1725,0.393,16,-0.58,27,0.00,0,0.31,52,0.17,17,0.54,37,化學工業,TW
1726,-0.0252,24,0.46,214,0.00,0,0.12,47,-0.10,17,-0.03,48,化學工業,TW
1727,-0.236,38,1.06,43,0.00,0,0.47,45,-0.27,17,0.02,41,化學工業,TW
1730,0.3923,15,4.21,119,0.00,0,0.62,53,-0.06,15,0.55,46,化學工業,TW
1732,0.3424,30,1.28,29,0.00,0,0.69,53,-0.17,18,0.71,37,化學工業,TW
1735,0.696,22,-0.31,22,0.00,0,0.41,46,-0.27,14,0.44,44,化學工業,TW
1773,0.3943,16,0.58,159,-0.42,16,0.92,49,0.09,13,0.94,46,化學工業,TW
1776,-0.1135,22,-0.69,8,0.00,0,0.05,51,-0.28,16,0.53,51,化學工業,TW
3708,3.5285,30,4.84,211,-1.49,23,2.51,40,0.31,16,-0.41,41,化學工業,TW
4720,0.2218,38,2.16,19,0.00,0,0.77,50,0.19,17,0.64,45,化學工業,TW
4722,-0.0887,29,-0.19,117,-0.03,2,0.32,49,-0.24,13,0.01,45,化學工業,TW
4725,0.4989,29,-4.80,119,-0.14,9,1.34,44,-0.55,16,-0.37,41,化學工業,TW
4739,1.458,26,-1.18,114,-0.24,17,1.16,37,-0.47,14,0.15,32,化學工業,TW
4755,0.1846,17,2.73,66,-0.39,8,0.83,46,0.17,14,0.17,41,化學工業,TW
4763,-0.9774,18,-9.25,155,-0.22,25,0.64,50,0.38,17,0.29,42,化學工業,TW
4764,0.6485,13,1.53,74,-0.30,2,0.23,34,0.24,11,-0.02,33,化學工業,TW
4766,0.0379,7,-3.78,72,1.60,28,0.74,20,0.43,7,0.16,19,化學工業,TW
1742,2.4905,24,6.00,61,0.00,0,0.61,49,0.87,16,1.53,41,化學工業,TWO
4702,0.7108,30,2.19,24,0.00,0,4.04,45,2.86,17,-0.14,46,化學工業,TWO
4706,-0.6226,40,0.01,6,0.00,0,-0.02,55,-0.16,17,0.21,52,化學工業,TWO
4707,0.4249,16,2.27,117,0.00,0,0.90,47,0.31,19,0.28,41,化學工業,TWO
4711,0.3265,35,0.09,10,0.00,0,-0.17,48,-0.32,12,0.28,43,化學工業,TWO
4714,1.6163,19,-1.72,149,0.00,0,0.78,42,0.23,17,1.19,48,化學工業,TWO
4716,-2.5255,27,4.38,34,0.00,0,0.63,50,-0.02,19,0.15,43,化學工業,TWO
4721,0.6802,22,6.41,113,1.95,2,2.10,51,-0.21,16,1.01,47,化學工業,TWO
4741,-4.6958,35,0.00,0,0.00,0,0.16,41,-0.83,9,-0.13,34,化學工業,TWO
4754,-0.2402,26,0.00,0,0.00,0,0.31,45,0.13,16,0.85,51,化學工業,TWO
4767,0.7915,10,0.00,0,0.00,0,0.16,24,-0.01,7,0.62,26,化學工業,TWO
6506,-0.1461,30,-1.06,39,0.00,0,0.14,51,-0.18,19,-0.16,39,化學工業,TWO
6509,1.1468,28,5.78,212,0.00,0,0.74,59,0.53,14,0.35,49,化學工業,TWO
2926,0.28,40,-0.27,8,0.00,0,0.17,51,-0.27,17,-0.85,28,文化創意業,TWO
3064,1.8974,36,0.22,10,0.00,0,1.14,44,0.25,13,0.94,46,文化創意業,TWO
3083,3.4922,27,8.05,146,1.56,9,1.76,51,0.68,13,0.53,45,文化創意業,TWO
3086,2.9359,19,-0.47,11,0.00,0,4.98,40,3.38,12,3.07,48,文化創意業,TWO
3293,1.3228,19,4.48,197,5.56,90,1.81,43,0.33,20,0.72,44,文化創意業,TWO
3546,1.369,20,4.79,123,-1.34,19,1.30,49,0.35,16,0.21,39,文化創意業,TWO
3687,2.3323,23,5.00,114,0.00,0,1.08,49,1.19,19,0.55,47,文化創意業,TWO
