,index,0
0,0.50,0
1,0.51,0
2,0.52,0
3,0.53,0
4,0.54,0
5,0.55,0
6,0.56,0
7,0.57,0
8,0.58,0
9,0.59,0
10,0.60,0
11,0.61,0
12,0.62,0
13,0.63,0
14,0.64,0
15,0.65,0
16,0.66,0
17,0.67,0
18,0.68,0
19,0.69,0
20,0.70,7
21,0.71,25
22,0.72,57
23,0.73,108
24,0.74,166
25,0.75,257
26,0.76,286
27,0.77,261
28,0.78,217
29,0.79,141
30,0.80,77
31,0.81,35
32,0.82,16
33,0.83,16
34,0.84,19
35,0.85,8
36,0.86,5
37,0.87,5
38,0.88,1
39,0.89,4
40,0.90,1
41,0.91,2
42,0.92,0
43,0.93,1
44,0.94,1
45,0.95,1
46,0.96,0
47,0.97,0
48,0.98,0
49,0.99,1
50,1.00,2
