,type,MA,MA_trade,mean
0,光電業,43.999999999999986,5223,0.008424277235305377
1,其他,24.069999999999997,4777,0.0050387272346661075
2,其他電子業,27.509999999999987,3530,0.0077932011331444725
3,化學工業,12.309999999999999,1814,0.006786108048511576
4,半導體業,92.1,6594,0.013967242948134668
5,塑膠工業,2.11,1106,0.0019077757685352621
6,建材營造,26.97999999999999,3226,0.00836329820210787
7,文化創意業,6.619999999999999,1094,0.006051188299817184
8,橡膠工業,2.1799999999999997,507,0.004299802761341222
9,水泥工業,2.61,301,0.00867109634551495
10,汽車工業,3.9,1294,0.0030139103554868625
11,油電燃氣業,4.1000000000000005,512,0.008007812500000001
12,玻璃陶瓷,0.08999999999999996,226,0.00039823008849557503
13,生技醫療業,31.909999999999993,4938,0.006462130417172943
14,紡織纖維,16.67,2370,0.007033755274261604
15,航運業,5.989999999999999,1189,0.005037846930193439
16,觀光事業,4.27,1561,0.0027354260089686097
17,貿易百貨,4.67,1489,0.0031363331094694425
18,資訊服務業,16.84,1471,0.011447994561522774
19,農業科技,2.52,151,0.016688741721854305
20,通信網路業,28.369999999999997,3702,0.007663425175580767
21,造紙工業,3.0500000000000007,302,0.010099337748344372
22,金融保險業,6.710000000000002,1364,0.004919354838709679
23,金融業,2.51,362,0.006933701657458563
24,鋼鐵工業,13.760000000000007,1984,0.006935483870967745
25,電器電纜,5.490000000000002,671,0.008181818181818184
26,電子商務,3.33,271,0.012287822878228782
27,電子通路業,14.51,1540,0.009422077922077922
28,電子零組件業,87.49000000000005,8979,0.009743846753536034
29,電機機械,20.709999999999994,3589,0.005770409584842573
30,電腦及週邊設備業,36.289999999999985,4752,0.007636784511784509
31,食品工業,4.11,1166,0.0035248713550600345
