,stockiid,Booling,Unnamed: 2,追隨外資,Unnamed: 4,追隨投信,Unnamed: 6,KD 交叉,Unnamed: 8,MACD 交叉,Unnamed: 10,均線交叉,Unnamed: 12,type
0,1240,55.67%,6,140.40%,39,0.00%,0,46.37%,25,6.34%,7,13.23%,27,農業科技
1,1258,-62.99%,32,-2.57%,7,0.00%,0,-6.31%,46,-51.17%,16,-17.56%,42,食品工業
2,1259,-9.81%,27,-245.11%,30,0.00%,0,31.13%,47,4.53%,16,20.41%,48,觀光事業
3,1264,-35.08%,26,452.51%,97,-6.18%,1,19.43%,54,-18.50%,14,15.96%,41,食品工業
4,1268,76.37%,21,-8.32%,14,0.00%,0,-29.25%,40,-19.80%,11,-8.39%,29,觀光事業
5,1333,-5.74%,24,0.00%,0,0.00%,0,50.16%,43,34.52%,15,36.18%,42,電子零組件業
6,1336,48.51%,23,38.66%,80,0.00%,0,116.26%,49,38.16%,17,74.45%,44,電子零組件業
7,1565,20.08%,31,-41.74%,104,388.62%,106,39.70%,52,-55.31%,15,9.16%,48,生技醫療業
8,1569,143.90%,24,111.42%,98,-161.10%,19,152.25%,48,19.87%,16,17.66%,46,電腦及週邊設備業
9,1570,16.95%,22,-150.14%,31,0.00%,0,47.50%,55,9.68%,19,21.54%,45,電機機械
10,1580,-5.26%,31,-383.08%,179,-13.50%,7,32.52%,46,-31.39%,15,-25.89%,34,電機機械
11,1584,-41.17%,36,187.66%,72,0.00%,0,69.64%,46,-15.16%,17,-62.78%,40,其他
12,1586,77.90%,26,816.32%,180,0.00%,0,89.34%,52,28.03%,20,58.59%,47,電機機械
13,1591,-1.10%,27,31.95%,12,0.00%,0,93.06%,51,26.01%,15,28.72%,47,電機機械
14,1593,25.73%,23,35.43%,47,0.00%,0,56.68%,52,-14.80%,13,28.83%,50,生技醫療業
15,1595,13.95%,25,-120.50%,53,0.00%,0,49.92%,50,-26.09%,13,7.51%,44,電子零組件業
16,1597,83.65%,17,444.56%,129,525.63%,54,224.70%,47,126.98%,15,80.11%,53,電機機械
17,1599,-57.52%,30,-318.10%,101,0.00%,0,-6.59%,51,-54.79%,16,-8.89%,50,電機機械
18,1742,249.05%,24,600.08%,61,0.00%,0,60.95%,49,86.51%,16,153.29%,41,化學工業
19,1752,15.81%,26,345.22%,122,-35.87%,12,35.81%,45,25.60%,14,41.65%,41,生技醫療業
20,1777,57.24%,33,-18.08%,30,0.00%,0,17.48%,47,-31.60%,16,1.40%,45,生技醫療業
21,1781,71.24%,38,515.96%,7,0.00%,0,31.86%,54,-14.25%,12,77.21%,40,生技醫療業
22,1784,127.88%,24,430.54%,121,0.00%,0,99.39%,47,62.53%,18,80.72%,45,生技醫療業
23,1785,124.50%,17,226.87%,148,0.00%,1,117.14%,45,64.19%,17,75.11%,43,其他電子業
24,1788,12.70%,23,-226.00%,42,0.00%,0,26.52%,57,1.95%,19,24.69%,42,生技醫療業
25,1796,-343.31%,34,3.37%,3,0.00%,0,-21.99%,35,-69.95%,8,17.56%,30,食品工業
26,1799,92.13%,36,117.19%,46,0.00%,0,48.57%,48,-9.93%,14,34.98%,43,生技醫療業
27,1813,-59.90%,28,-29.33%,37,0.00%,0,26.78%,46,-23.17%,12,43.07%,38,生技醫療業
28,1815,-142.61%,36,-535.87%,123,-185.74%,21,89.64%,48,25.32%,17,35.77%,48,電子零組件業
29,2035,-23.13%,27,0.00%,1,0.00%,0,-4.85%,44,-4.54%,15,39.66%,50,鋼鐵工業
30,2061,26.95%,33,33.62%,16,0.00%,0,74.72%,44,43.53%,17,-2.27%,44,電器電纜
31,2063,96.91%,30,-40.99%,29,0.00%,0,64.83%,46,15.89%,13,4.60%,45,鋼鐵工業
32,2064,-53.34%,34,3.72%,1,0.00%,0,31.03%,47,-25.10%,14,5.78%,38,鋼鐵工業
33,2065,109.47%,21,281.15%,42,0.00%,0,88.20%,45,-2.52%,15,59.91%,42,鋼鐵工業
34,2066,-230.85%,42,-142.29%,23,0.00%,0,13.91%,51,-61.64%,15,-18.33%,42,電機機械
35,2067,55.96%,43,-23.46%,2,0.00%,0,35.76%,49,-16.29%,17,0.18%,42,電機機械
36,2070,-7.54%,18,-33.10%,6,0.00%,0,8.07%,20,-11.24%,5,-30.61%,14,電機機械
37,2221,67.52%,21,831.54%,98,0.00%,0,150.33%,48,-8.81%,20,72.60%,46,其他
38,2230,13.87%,32,-5.57%,2,0.00%,0,14.08%,54,19.58%,16,38.71%,46,電機機械
39,2235,-431.63%,38,-162.31%,14,-606.31%,18,23.86%,57,-74.55%,10,-0.80%,42,電機機械
40,2596,5.66%,20,-145.67%,61,0.00%,0,50.18%,49,-32.61%,17,24.79%,37,建材營造
41,2640,-24.52%,16,427.77%,134,961.19%,25,78.33%,46,10.29%,15,19.80%,39,其他
42,2641,-87.46%,31,39.05%,66,0.00%,0,112.70%,46,14.54%,15,7.76%,43,航運業
43,2643,134.72%,36,60.46%,41,0.00%,0,25.85%,52,-4.87%,14,-7.03%,45,航運業
44,2718,-59.39%,15,0.00%,0,0.00%,0,31.90%,31,-19.68%,8,3.26%,30,觀光事業
45,2719,706.36%,38,-5.79%,2,0.00%,0,91.48%,47,-80.42%,16,170.29%,46,觀光事業
46,2724,125.36%,21,33.37%,2,0.00%,0,117.45%,29,40.29%,12,24.69%,32,觀光事業
47,2726,-277.82%,28,-76.37%,104,-63.86%,22,72.77%,51,-5.58%,18,19.87%,39,觀光事業
48,2729,6.69%,28,-48.32%,132,-36.53%,22,97.80%,45,-10.20%,14,-30.65%,37,觀光事業
49,2732,2.14%,26,-127.62%,190,326.31%,11,76.13%,47,-7.89%,14,40.77%,40,觀光事業
50,2734,-107.92%,43,16.32%,4,0.00%,0,111.37%,46,-9.37%,14,31.07%,51,觀光事業
51,2736,344.14%,36,-26.60%,4,0.00%,0,84.80%,50,40.09%,14,-6.20%,40,觀光事業
52,2740,-910.55%,38,51.98%,2,0.00%,0,60.33%,49,-23.02%,14,53.24%,40,觀光事業
53,2743,0.00%,0,9.82%,3,0.00%,0,4.83%,3,0.00%,0,24.02%,3,觀光事業
54,2745,16.61%,15,0.00%,16,0.00%,0,-6.42%,28,-26.69%,9,11.37%,28,觀光事業
55,2752,28.79%,3,-58.22%,12,0.00%,0,10.02%,12,-10.45%,1,7.19%,7,觀光事業
56,2916,-18.72%,24,0.00%,1,0.00%,0,21.10%,45,6.39%,17,0.11%,43,貿易百貨
57,2924,-133.36%,31,0.31%,17,0.00%,0,-16.44%,39,-18.58%,11,-87.94%,24,貿易百貨
58,2926,28.00%,40,-27.08%,8,0.00%,0,17.23%,51,-27.23%,17,-85.03%,28,文化創意業
59,2928,56.31%,36,-62.21%,104,0.00%,0,252.07%,44,28.56%,15,-23.57%,46,觀光事業
60,2937,25.09%,16,0.00%,2,0.00%,0,42.55%,40,1.32%,10,29.83%,40,貿易百貨
61,3064,189.74%,36,22.14%,10,0.00%,0,114.35%,44,25.24%,13,94.12%,46,文化創意業
62,3066,20.31%,33,0.23%,4,0.00%,0,69.56%,47,1.12%,15,67.14%,47,光電業
63,3067,3.64%,20,-50.68%,8,0.00%,0,115.65%,46,-36.81%,17,63.67%,47,其他電子業
64,3071,214.19%,17,747.11%,160,0.00%,0,171.74%,47,22.25%,13,50.37%,42,電腦及週邊設備業
65,3073,170.78%,30,6.61%,3,0.00%,0,227.24%,46,-15.97%,16,48.50%,48,半導體業
66,3078,118.40%,21,150.43%,153,0.00%,10,81.98%,52,-13.35%,13,-0.05%,49,電子零組件業
67,3081,284.43%,24,-697.84%,157,454.03%,140,100.13%,48,98.99%,19,136.19%,53,通信網路業
68,3083,349.22%,27,805.33%,146,155.87%,9,175.81%,51,67.79%,13,53.00%,45,文化創意業
69,3085,-640.74%,37,30.25%,32,0.00%,0,-104.54%,52,-91.78%,13,107.17%,47,電子商務
70,3086,293.59%,19,-46.83%,11,0.00%,0,498.38%,40,337.96%,12,306.95%,48,文化創意業
71,3088,60.54%,20,-159.46%,149,0.00%,0,54.82%,48,-7.95%,20,13.46%,45,電腦及週邊設備業
72,3089,424.25%,44,0.00%,0,0.00%,0,172.13%,49,197.62%,14,21.50%,41,電子零組件業
73,3092,76.75%,24,65.15%,107,11.06%,8,84.90%,51,-6.74%,15,59.15%,44,電子零組件業
74,3093,115.04%,31,0.00%,0,0.00%,0,34.24%,42,6.23%,18,33.22%,43,其他電子業
75,3095,197.10%,41,10.00%,1,0.00%,0,160.00%,46,13.78%,17,45.67%,46,通信網路業
76,3105,130.91%,18,406.73%,134,747.08%,204,103.88%,50,22.54%,15,186.28%,49,半導體業
77,3114,-125.37%,19,2084.15%,124,0.00%,0,138.03%,44,-14.18%,16,65.99%,46,電子零組件業
78,3115,475.56%,30,-0.29%,7,0.00%,0,148.11%,48,91.02%,12,100.93%,52,電子零組件業
79,3118,36.22%,17,62.02%,11,0.00%,0,31.19%,57,31.85%,17,34.00%,53,生技醫療業
80,3122,166.28%,34,0.00%,1,0.00%,0,54.90%,52,7.36%,14,52.47%,46,半導體業
81,3128,159.04%,26,1079.97%,69,0.00%,0,84.25%,49,59.33%,18,46.78%,47,光電業
82,3131,-16.70%,30,222.69%,124,-113.08%,16,114.37%,50,-13.62%,13,69.28%,43,其他電子業
83,3141,71.76%,31,182.82%,106,-423.08%,31,103.06%,48,-65.17%,16,29.80%,45,半導體業
84,3144,145.45%,17,1202.99%,120,0.00%,0,168.93%,50,65.66%,15,70.82%,50,電子零組件業
