,住址,傳真機號碼,公司代號,公司名稱,公司簡稱,實收資本額,成立日期,產業別,簽證會計師事務所,股票過戶機構,董事長
0,台北市和平西路一段三十號二樓,02-23640694,1240,茂生農經股份有限公司,茂生農經,339900000,19670218,農業科技,勤業眾信聯合會計師事務所,元大證券股份有限公司股務代理部,吳清德
1,台北市中山區松江路51號8樓,(02)2503-4933,1258,其祥生物科技控股有限公司,其祥-KY,368197910,20100511,食品工業,安永聯合會計師事務所,中國信託商業銀行代理部,王其祥
2,台北市中山區松江路156-1號8樓,(02)2567-1692,1259,安心食品服務股份有限公司,安心,323895000,19901123,觀光事業,資誠聯合會計師事務所,群益金鼎證券(股)公司股務代理部,林建元
3,新北市五股區五權五路31號,(02)2298-2263,1264,德麥食品股份有限公司,德麥,336959700,19890629,食品工業,勤業眾信聯合會計師事務所,富邦綜合證券(股)公司股務代理部,林雪嬌
4,高雄市前金區成功一路266號21樓之1,(07)215-5956,1268,漢來美食股份有限公司,漢來美食,377237300,20030109,觀光事業,勤業眾信聯合會計師事務所,福邦證券股份有限公司,賴宗成
5,新北市三重區重新路五段609巷8號5F-3,(02)2999-7900,1333,恩得利工業股份有限公司,恩得利,745153750,19931016,電子零組件業,建智聯合會計師事務所,中國信託商業銀行代理部,康榮寶
6,新北市新莊區五權一路9號5樓之1,02-22994848,1336,台翰精密科技股份有限公司,台翰,770984190,19870828,電子零組件業,勤業眾信聯合會計師事務所,永豐金證券(股)公司股務代理部,楊劍平
7,新北市汐止區大同路一段276之2號4、5樓,(02)2647-9369,1565,精華光學股份有限公司,精華,504165160,19860924,生技醫療業,資誠聯合會計師事務所,元大證券股務代理部,陳明賢
8,高雄市大寮區大發工業區興業路二號,07-7871515,1569,濱川企業股份有限公司,濱川,1134436860,19830330,電腦及週邊設備業,勤業眾信聯合會計師事務所,富邦綜合證券股份有限公司,蕭欽銘
9,新北市八里區博物館路81號,(02)2619-5618,1570,力肯實業股份有限公司,力肯,515008390,19831223,電機機械,勤業眾信聯合會計師事務所,元富證券股份有限公司股務代理部,溫銘漢
