,住址,傳真機號碼,公司代號,公司名稱,公司簡稱,實收資本額,成立日期,產業別,簽證會計師事務所,股票過戶機構,董事長
0,台北市中山北路2段113號,(02)2531-6529,1101,台灣水泥股份有限公司,台泥,56656192040,19501229,水泥工業,勤業眾信聯合會計師事務所,中國信託商業銀行代理部,張安平
1,台北市大安區敦化南路2段207號30、31樓,02-2378-5191,1102,亞洲水泥股份有限公司,亞泥,33614471980,19570321,水泥工業,勤業眾信聯合會計師事務所,亞東證券股份有限公司,徐旭東
2,台北市中山北路2段96號,(02)2511-4002,1103,嘉新水泥股份有限公司,嘉泥,7747805480,19541213,水泥工業,勤業眾信聯合會計師事務所,群益金鼎證券股份有限公司股代部,張剛綸
3,台北市南京東路二段125號10樓,02-25075870,1104,環球水泥股份有限公司,環泥,6536091920,19600321,水泥工業,勤業眾信聯合會計師事務所,華南永昌綜合證券(股)股務代理部,侯博義
4,台北市松江路237號15樓,25048672,1108,幸福水泥股份有限公司,幸福,4047380490,19740507,水泥工業,勤業眾信聯合會計師事務所,永豐金證券股務代理,陳兩傳
5,台北市寶慶路37號7樓,23314086,1109,信大水泥股份有限公司,信大,3419578680,19640315,水泥工業,資誠聯合會計師事務所,中國信託商業銀行代理部,楊智雄
6,高雄市前金區五福三路21號4樓之1,07-9505895,1110,東南水泥股份有限公司,東泥,5720007970,19561228,水泥工業,國富浩華聯合會計師事務所,元大證券股份有限公司,陳敏斷
7,台北市松江路125號,(02)25063182,1201,味全食品工業股份有限公司,味全,5060629140,19530922,食品工業,資誠聯合會計師事務所,元大證券股務代理部,陳宏裕
8,台北市中山北路二段79號5樓,(02)25811006,1203,味王股份有限公司,味王,2400000000,19590704,食品工業,大中國際聯合會計師事務所,群益金鼎證券股份有限公司,陳清福
9,台南市永康區蔦松二街三號,06-2534596,1210,大成長城企業股份有限公司,大成,8273390860,19601228,食品工業,安侯建業會計師事務所,中國信託商業銀行代理部,韓家宇
10,新北市三重區重陽路三段99號10樓,(02)2984-1154,1213,大西洋飲料股份有限公司,大飲,566226270,19650724,食品工業,南台聯合會計師事務所,大西洋飲料股份有限公司,王鎮民
11,台北市松江路八十七號十七樓,02-25064137,1215,台灣卜蜂企業股份有限公司,卜蜂,2679909980,19770822,食品工業,資誠聯合會計師事務所,中國信託商業銀行代理部,鄭武樾
12,71001台南市永康區中正路301號,(06)253-2661,1216,統一企業股份有限公司,統一,56820154210,19670825,食品工業,資誠聯合會計師事務所,統一綜合證券(股)公司股務代理部,羅智先
13,嘉義縣民雄鄉工業二路11號,05-2216287,1217,愛之味股份有限公司,愛之味,4945133360,19710626,食品工業,國富浩華聯合會計師事務所,群益金鼎證券股份有限公司,陳冠翰
14,彰化縣田中鎮興工路6號,04-8758989,1218,泰山企業股份有限公司,泰山,4999990380,19501026,食品工業,安侯建業聯合會計師事務所,元大證券股份有限公司,詹逸宏
15,台中市沙鹿區沙田路45號,04-26358452,1219,福壽實業股份有限公司,福壽,3220138870,19550207,食品工業,群智聯合會計師事務所,凱基證券股份有限公司,洪堯昆
16,台北市中山區南京東路二段206號6樓,(02)2507-7020,1220,台榮產業股份有限公司,台榮,1770779440,19690313,食品工業,立本台灣聯合會計師事務所,中國信託商業銀行代理部,陳維恭
17,台中市大肚區沙田路一段453號,(02)25071312,1225,福懋油脂股份有限公司,福懋油,2187030510,19860418,食品工業,勤業眾信聯合會計師事務所,群益金鼎證券股份有限公司,晉昇投資有限公司
18,台北市仁愛路三段136號5樓,2706-7955,1227,佳格食品股份有限公司,佳格,9150895910,19860606,食品工業,勤業眾信聯合會計師事務所,中國信託商業銀行代理部,曹德風
19,(103)臺北市大同區承德路一段44號6樓,(02)2786-3232,1229,聯華實業投資控股股份有限公司,聯華,11047398410,19550720,食品工業,安侯建業聯合會計師事務所,中國信託商業銀行代理部,苗豐強
20,台北市迪化街一段148號,(02)25533479,1231,聯華食品工業股份有限公司,聯華食,1745953950,19700707,食品工業,勤業眾信聯合會計師事務所,永豐金證券股份有限公司,李開源
21,台南市官田區二鎮里工業西路32號,06-698-5530,1232,大統益股份有限公司,大統益,1599749150,19820524,食品工業,資誠聯合會計師事務所,統一綜合證券股份有限公司,羅智先
22,台北市忠孝東路4段107號6樓,02-27403035,1233,天仁茶業股份有限公司,天仁,905919480,19751211,食品工業,安永聯合會計師事務所,元大證券股份有限公司,李國麟
23,台北市信義路四段296號3樓,(02)2755-2119,1234,黑松股份有限公司,黑松,4018710940,19691213,食品工業,勤業眾信聯合會計師事務所,宏遠證券股份有限公司股務代理部,張斌堂
24,高雄市仁武區高楠公路10號,07-3425694,1235,興泰實業股份有限公司,興泰,989554360,19721115,食品工業,國富浩華聯合會計師事務所,國票綜合證券股份有限公司,吳星澄
25,新北市新店區寶興路45巷8弄3號5樓,(02)29180706,1236,宏亞食品股份有限公司,宏亞,1083425100,19760614,食品工業,安永聯合會計師事務所,群益金鼎證券股份有限公司,張云綺
26,"Genesis Close, PO Box 446, Cayman Islands, KY1-1106",512-57515503,1256,鮮活控股股份有限公司,鮮活果汁-KY,338421600,20100112,食品工業,勤業眾信聯合會計師事務所,兆豐證券股份有限公司股務代理部,黃國晃
27,高雄市仁武區水管路100號,(02)2717-8108,1301,台灣塑膠工業股份有限公司,台塑,63657407810,19541105,塑膠工業,安侯建業聯合會計師事務所,本公司股務組,林健男
28,台北市敦化北路201號,(02)27178533,1303,南亞塑膠工業股份有限公司,南亞,79308215890,19580822,塑膠工業,安侯建業聯合會計師事務所,本公司股務組,吳嘉昭
29,台北市內湖區基湖路37號12樓,02-26599524,1304,台灣聚合化學品股份有限公司,台聚,11887635000,19650526,塑膠工業,勤業眾信聯合會計師事務所,本公司股務部,吳亦圭
30,台北市內湖區基湖路37號12樓,(02)2659-9553,1305,華夏海灣塑膠股份有限公司,華夏,5270299270,19640429,塑膠工業,勤業眾信聯合會計師事務所,本公司股務部,吳亦圭
31,高雄市三民區通化街120號,(07)3711940,1307,三芳化學工業股份有限公司,三芳,3978181260,19730616,塑膠工業,勤業眾信會計師事務所,中國信託代理部,林孟經
32,高雄市林園區工業一路3號,(02)2659-9553,1308,亞洲聚合股份有限公司,亞聚,5543827450,19770125,塑膠工業,勤業眾信聯合會計師事務所,亞洲聚合股份有限公司股務部,吳亦圭
