Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,84.73,89.48,84.73,85.91,1014344,0.0,0
2016-01-05,85.91,88.68,83.14,83.54,443097,0.0,0
2016-01-06,84.73,86.31,81.56,83.14,345014,0.0,0
2016-01-07,82.35,82.75,79.18,80.37,283690,0.0,0
2016-01-08,80.37,81.95,79.98,81.95,79398,0.0,0
2016-01-11,80.77,81.56,79.98,81.56,86677,0.0,0
2016-01-12,82.35,82.35,78.79,79.18,132683,0.0,0
2016-01-13,78.63,79.98,78.63,79.58,116581,0.0,0
2016-01-14,77.6,79.18,76.81,79.18,139894,0.0,0
2016-01-15,79.58,80.77,79.18,79.18,52273,0.0,0
2016-01-18,79.02,80.77,77.68,80.77,81357,0.0,0
2016-01-19,80.77,80.77,79.18,79.98,36259,0.0,0
2016-01-20,79.18,79.58,77.52,77.6,96463,0.0,0
2016-01-21,77.6,78.15,77.05,77.92,49216,0.0,0
2016-01-22,78.39,78.39,76.97,77.6,37271,0.0,0
2016-01-25,78.0,78.39,77.76,78.23,25110,0.0,0
2016-01-26,77.6,77.84,76.81,76.89,34149,0.0,0
2016-01-27,77.44,77.44,76.09,76.09,57402,0.0,0
2016-01-28,76.09,76.33,75.38,76.02,57251,0.0,0
2016-01-29,76.02,77.2,76.02,77.2,23101,0.0,0
2016-02-01,78.87,78.87,77.36,78.39,15270,0.0,0
2016-02-02,77.2,78.15,77.2,78.15,21092,0.0,0
2016-02-03,77.6,78.71,77.6,78.47,38167,0.0,0
2016-02-15,76.02,78.31,76.02,78.0,18199,0.0,0
2016-02-16,78.39,78.55,78.0,78.31,32141,0.0,0
2016-02-17,77.68,78.47,77.68,78.07,45198,0.0,0
2016-02-18,79.18,80.77,79.18,80.37,131770,0.0,0
2016-02-19,79.18,79.98,79.02,79.18,25110,0.0,0
2016-02-22,78.39,79.98,78.15,79.98,67307,0.0,0
2016-02-23,79.98,79.98,78.39,79.58,37364,0.0,0
2016-02-24,79.58,79.58,78.39,78.39,30132,0.0,0
2016-02-25,78.39,79.58,78.39,79.18,51224,0.0,0
2016-02-26,78.95,79.58,78.71,79.58,38197,0.0,0
2016-03-01,79.18,80.37,79.18,80.37,64312,0.0,0
2016-03-02,80.37,81.16,79.98,80.37,80807,0.0,0
2016-03-03,80.77,80.77,79.98,80.37,80654,0.0,0
2016-03-04,80.37,80.37,79.58,80.37,53233,0.0,0
2016-03-07,79.58,80.37,79.58,79.98,33195,0.0,0
2016-03-08,79.98,80.77,79.58,80.77,37213,0.0,0
2016-03-09,79.98,80.77,79.58,79.98,38169,0.0,0
2016-03-10,80.37,80.77,79.98,80.37,31284,0.0,0
2016-03-11,80.37,81.95,80.37,81.56,106467,0.0,0
2016-03-14,81.56,81.95,81.16,81.56,42186,0.0,0
2016-03-15,81.16,81.16,79.58,80.37,54565,0.0,0
2016-03-16,80.37,80.77,79.98,80.37,35234,0.0,0
2016-03-17,81.16,81.16,79.58,79.98,56394,0.0,0
2016-03-18,80.37,80.77,79.98,80.77,25325,0.0,0
2016-03-21,79.98,80.77,79.98,80.37,26553,0.0,0
2016-03-22,79.98,80.37,79.18,79.18,59290,0.0,0
2016-03-23,79.98,79.98,79.18,79.18,56457,0.0,0
2016-03-24,79.18,79.58,78.47,79.58,39171,0.0,0
