Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,25.19,25.19,24.95,24.95,290563,0.0,0.0
2016-01-05,24.91,24.95,24.79,24.83,578812,0.0,0.0
2016-01-06,24.87,24.99,24.48,24.52,526719,0.0,0.0
2016-01-07,24.48,24.48,23.66,23.93,1371785,0.0,0.0
2016-01-08,23.54,23.81,23.3,23.66,1452819,0.0,0.0
2016-01-11,23.3,23.62,23.07,23.54,968932,0.0,0.0
2016-01-12,23.54,23.58,23.23,23.26,676053,0.0,0.0
2016-01-13,23.3,23.46,23.26,23.38,412114,0.0,0.0
2016-01-14,23.23,23.26,22.99,23.07,626275,0.0,0.0
2016-01-15,23.07,23.26,22.95,23.03,522088,0.0,0.0
2016-01-18,22.75,23.38,22.48,23.38,540610,0.0,0.0
2016-01-19,23.34,23.66,23.07,23.62,392434,0.0,0.0
2016-01-20,23.54,23.62,23.11,23.11,479256,0.0,0.0
2016-01-21,23.11,23.38,22.99,23.03,228052,0.0,0.0
2016-01-22,23.15,23.3,23.07,23.23,185220,0.0,0.0
2016-01-25,23.38,23.81,23.38,23.7,483887,0.0,0.0
2016-01-26,23.7,23.7,23.38,23.58,252362,0.0,0.0
2016-01-27,23.58,23.7,23.54,23.58,232682,0.0,0.0
2016-01-28,23.58,23.93,23.58,23.74,275514,0.0,0.0
2016-01-29,23.66,24.32,23.66,24.32,745510,0.0,0.0
2016-02-01,24.72,24.72,24.17,24.17,542926,0.0,0.0
2016-02-02,24.17,24.4,23.77,24.01,721200,0.0,0.0
2016-02-03,23.77,23.77,23.3,23.5,1165728,0.0,0.0
2016-02-15,23.15,23.23,22.87,23.19,1088167,0.0,0.0
2016-02-16,23.19,23.54,23.15,23.5,852012,0.0,0.0
2016-02-17,23.62,23.62,23.42,23.58,549871,0.0,0.0
2016-02-18,23.77,23.77,23.58,23.58,758244,0.0,0.0
2016-02-19,23.62,23.7,23.58,23.7,417902,0.0,0.0
2016-02-22,23.7,23.77,23.54,23.7,574182,0.0,0.0
2016-02-23,23.74,24.79,23.7,24.6,2415963,0.0,0.0
2016-02-24,24.56,24.56,24.21,24.32,742037,0.0,0.0
2016-02-25,24.48,24.52,24.36,24.4,647112,0.0,0.0
2016-02-26,24.44,24.56,24.4,24.52,456104,0.0,0.0
2016-03-01,24.52,24.79,24.52,24.64,687629,0.0,0.0
2016-03-02,24.21,24.25,23.74,23.97,3244822,0.0,0.0
2016-03-03,23.97,24.17,23.81,24.05,1244446,0.0,0.0
2016-03-04,24.05,24.36,24.05,24.32,1103216,0.0,0.0
2016-03-07,24.4,24.64,24.4,24.6,1481760,0.0,0.0
2016-03-08,24.95,25.74,24.95,25.7,5567018,0.0,0.0
2016-03-09,25.54,25.54,25.15,25.38,1533853,0.0,0.0
2016-03-10,25.11,25.19,24.6,24.72,2838496,0.0,0.0
2016-03-11,24.48,24.6,24.44,24.48,1303485,0.0,0.0
2016-03-14,24.56,24.68,24.25,24.36,1412302,0.0,0.0
2016-03-15,24.28,24.36,23.58,23.58,2302516,0.0,0.0
2016-03-16,23.58,23.85,23.58,23.85,1051123,0.0,0.0
2016-03-17,24.01,24.09,23.62,23.7,1021025,0.0,0.0
2016-03-18,23.74,23.85,23.58,23.66,658688,0.0,0.0
2016-03-21,23.7,23.81,23.3,23.81,775608,0.0,0.0
2016-03-22,23.85,23.85,23.54,23.74,666792,0.0,0.0
2016-03-23,23.74,23.77,23.58,23.58,476941,0.0,0.0
2016-03-24,23.54,23.54,23.3,23.3,898317,0.0,0.0
2016-03-25,23.34,23.54,23.34,23.42,443370,0.0,0.0
2016-03-28,23.46,23.46,23.26,23.26,561448,0.0,0.0
2016-03-29,23.34,23.38,23.07,23.11,770978,0.0,0.0
2016-03-30,22.87,23.3,22.87,23.23,439897,0.0,0.0
2016-03-31,23.26,23.3,23.15,23.26,294036,0.0,0.0
2016-04-01,23.3,23.3,23.11,23.26,270884,0.0,0.0
2016-04-06,23.15,23.23,22.75,22.91,833490,0.0,0.0
2016-04-07,22.99,23.07,22.87,22.91,419060,0.0,0.0
2016-04-08,22.91,22.99,22.83,22.95,371597,0.0,0.0
2016-04-11,22.99,23.03,22.75,22.79,461892,0.0,0.0
2016-04-12,22.83,22.95,22.4,22.52,811495,0.0,0.0
2016-04-13,22.52,22.72,22.52,22.64,626275,0.0,0.0
2016-04-14,22.91,23.38,22.75,23.26,897159,0.0,0.0
2016-04-15,23.26,23.54,23.23,23.34,625117,0.0,0.0
2016-04-18,23.3,23.34,22.99,22.99,555660,0.0,0.0
2016-04-19,23.11,23.3,23.11,23.19,166698,0.0,0.0
2016-04-20,23.26,23.26,22.83,22.83,401695,0.0,0.0
2016-04-21,22.83,23.11,22.83,22.83,234997,0.0,0.0
2016-04-22,22.83,22.95,22.6,22.68,428321,0.0,0.0
2016-04-25,22.6,22.91,22.56,22.79,228052,0.0,0.0
2016-04-26,22.75,22.83,22.72,22.79,203742,0.0,0.0
2016-04-27,22.91,22.91,22.75,22.75,144703,0.0,0.0
2016-04-28,22.75,22.75,22.56,22.6,289406,0.0,0.0
2016-04-29,22.52,22.56,22.21,22.36,656373,0.0,0.0
2016-05-03,22.36,22.36,22.05,22.05,505882,0.0,0.0
2016-05-04,21.89,21.89,21.19,21.19,1479444,0.0,0.0
2016-05-05,21.03,21.11,20.71,21.03,663319,0.0,0.0
2016-05-06,21.03,21.11,20.4,21.07,661003,0.0,0.0
2016-05-09,21.03,21.03,20.68,20.68,346129,0.0,0.0
2016-05-10,20.68,20.68,20.09,20.17,755929,0.0,0.0
2016-05-11,20.17,20.91,20.17,20.6,761717,0.0,0.0
2016-05-12,20.64,20.64,20.24,20.24,450316,0.0,0.0
2016-05-13,20.36,20.4,20.09,20.17,416745,0.0,0.0
2016-05-16,20.17,20.17,19.77,20.01,482729,0.0,0.0
2016-05-17,20.01,20.48,20.01,20.4,322977,0.0,0.0
2016-05-18,20.44,20.44,20.2,20.24,215318,0.0,0.0
2016-05-19,20.24,20.36,19.97,20.17,467680,0.0,0.0
2016-05-20,20.17,20.32,20.01,20.2,194481,0.0,0.0
2016-05-23,20.52,20.99,20.36,20.83,664476,0.0,0.0
2016-05-24,21.03,21.03,20.79,20.91,266253,0.0,0.0
2016-05-25,21.07,21.07,20.91,20.95,552187,0.0,0.0
2016-05-26,20.99,21.03,20.91,20.91,223421,0.0,0.0
2016-05-27,20.95,21.11,20.91,21.03,266253,0.0,0.0
2016-05-30,21.11,21.42,21.03,21.34,430636,0.0,0.0
2016-05-31,21.34,21.77,21.34,21.66,471153,0.0,0.0
2016-06-01,21.66,22.05,21.62,21.93,562605,0.0,0.0
2016-06-02,22.13,22.13,21.7,21.85,322977,0.0,0.0
2016-06-03,21.7,21.73,21.3,21.58,388962,0.0,0.0
2016-06-06,21.42,21.5,21.22,21.3,231525,0.0,0.0
2016-06-07,21.34,21.66,21.34,21.42,208372,0.0,0.0
2016-06-08,21.62,21.62,21.3,21.38,126181,0.0,0.0
2016-06-13,21.38,21.38,20.99,20.99,244258,0.0,0.0
2016-06-14,20.83,21.11,20.79,21.03,233840,0.0,0.0
2016-06-15,21.26,21.26,20.87,21.11,157437,0.0,0.0
2016-06-16,21.11,21.22,20.87,21.03,284775,0.0,0.0
2016-06-17,21.19,21.22,21.03,21.03,223421,0.0,0.0
2016-06-20,21.15,21.26,21.03,21.15,148176,0.0,0.0
2016-06-21,21.26,21.26,21.15,21.19,206057,0.0,0.0
2016-06-22,21.22,21.26,21.11,21.19,214160,0.0,0.0
2016-06-23,21.26,21.5,21.26,21.5,292879,0.0,0.0
2016-06-24,21.58,21.58,20.99,21.07,570709,0.0,0.0
2016-06-27,20.87,21.34,20.83,21.26,202584,0.0,0.0
2016-06-28,21.26,21.26,21.03,21.11,1076591,0.0,0.0
2016-06-29,21.22,21.5,21.22,21.42,356548,0.0,0.0
2016-06-30,21.58,21.58,21.34,21.42,311401,0.0,0.0
