,Id,stockiid,buy,sell,blance,Latitude_and_Longitude
112,1520,2330,487757.2005,-1245359.097,-757601.8965,"('25.058077', '121.545174')"
578,9268,2330,305276.91275,-696139.959,-390863.04625,"('25.052223', '121.535076')"
110,1470,2330,566287.2632500001,-920109.78925,-353822.5259999999,"('25.026038', '121.549202')"
467,8900,2330,200038.62925,-526466.0507499999,-326427.42149999994,"('25.033424', '121.564756')"
116,1590,2330,291452.525,-582438.8705000001,-290986.34550000005,"('25.038787', '121.566065')"
117,1650,2330,468901.4575,-721908.557,-253007.0995,"('25.038288', '121.56885')"
111,1480,2330,486076.58725,-719780.0845,-233703.49725,"('25.026038', '121.549202')"
402,8440,2330,1124628.0895000002,-1339380.88,-214752.7904999999,"('25.032604', '121.566785')"
109,1440,2330,557769.051,-642844.19875,-85075.14775,"('25.026038', '121.549202')"
846,9A9U,2330,9813.85075,-46054.8085,-36240.95775,"('25.049431', '121.523747')"
113,1530,2330,140666.40075,-174842.32825,-34175.92749999998,"('25.037404', '121.553567')"
115,1570,2330,109049.3585,-143163.971,-34114.61249999999,"('25.04068077', '121.56688392')"
108,1380,2330,650428.78475,-682313.97325,-31885.188500000047,"('25.029257', '121.549306')"
174,5850,2330,80621.43024999999,-103640.8745,-23019.44425000001,"('25.050111', '121.56494')"
748,983j,2330,10077.817749999998,-29065.824999999993,-18988.007249999995,"('25.037384', '121.543894')"
752,984K,2330,9554.46925,-27051.78425,-17497.314999999995,"('25.045904', '121.514373')"
493,9186,2330,8458.689000000002,-25227.597999999998,-16768.909,"('24.80632', '120.962846')"
499,918C,2330,7566.193500000001,-21890.9465,-14324.752999999995,"('25.027163', '121.520879')"
512,918c,2330,7566.193500000001,-21890.9465,-14324.752999999995,"('22.603186', '120.334545')"
656,9663,2330,9123.99075,-23200.916999999994,-14076.926249999995,"('25.045586', '121.548465')"
470,9101,2330,12264.91925,-25799.2825,-13534.363250000002,"('25.028953', '121.549172')"
214,5925,2330,40667.46375000002,-53546.81750000001,-12879.353749999995,"('24.139891', '120.658046')"
768,9872,2330,31090.6555,-43393.537250000016,-12302.881750000008,"('25.062628', '121.543817')"
776,9888,2330,8602.867499999997,-17607.575,-9004.707500000002,"('25.009954', '121.514557')"
260,6010,2330,36882.19725000001,-44248.84325,-7366.6459999999925,"('25.052842', '121.544234')"
317,700F,2330,11823.804499999998,-18380.418,-6556.613500000002,"('23.709395', '120.432824')"
338,700f,2330,11823.804499999998,-18380.418,-6556.613500000002,"('24.0497535', '120.4378526')"
430,8583,2330,3431.48825,-9957.8395,-6526.35125,"('25.041847', '121.549222')"
427,8580,2330,6400.957250000001,-12062.915,-5661.95775,"('25.052223', '121.535076')"
822,9A89,2330,11748.892500000002,-17232.151999999995,-5483.259499999993,"('25.051373', '121.548469')"
582,9275,2330,8877.27525,-14290.709000000004,-5413.433750000002,"('22.613697', '120.301791')"
2,1022,2330,7205.3184999999985,-12465.848999999998,-5260.530499999999,"('22.997999', '120.207877')"
181,5857,2330,16596.66575,-21825.809,-5229.143249999997,"('24.80632', '120.962846')"
545,9217,2330,6533.371499999998,-11671.09425,-5137.722750000001,"('25.049881', '121.576375')"
533,920F,2330,17734.04975,-21795.85075,-4061.801,"('25.045723', '121.516952')"
806,989X,2330,8265.2055,-12161.0035,-3895.798000000001,"('25.05978', '121.564696')"
261,6012,2330,6507.939,-10372.28675,-3864.347749999999,"('25.052842', '121.544234')"
176,5852,2330,15930.44475,-19724.6955,-3794.250749999999,"('25.030796', '121.549111')"
81,116Z,2330,27772.105499999994,-31542.604249999997,-3770.498749999999,"('25.001621', '121.500102')"
18,1035,2330,5344.234500000001,-8769.908749999999,-3425.674249999998,"('24.803771', '120.9666')"
863,9A9s,2330,6150.358500000001,-9445.38275,-3295.0242499999977,"('24.0780997', '120.5409603')"
845,9A9S,2330,6150.358500000001,-9445.38275,-3295.0242499999977,"('25.051815', '121.538218')"
262,601d,2330,15995.546000000002,-19269.39025,-3273.8442499999987,"('25.052842', '121.544234')"
314,700C,2330,5064.005,-8296.324499999999,-3232.3194999999987,"('23.711456', '120.541869')"
336,700c,2330,5064.005,-8296.324499999999,-3232.3194999999987,"('25.057532', '121.545978')"
365,7795,2330,3277.66575,-6360.313,-3082.64725,"('25.055037', '121.606446')"
148,5383,2330,11594.01775,-14657.321249999995,-3063.303499999998,"('22.628187', '120.332681')"
50,111G,2330,1971.394,-4895.047250000001,-2923.653250000001,"('25.015709', '121.473968')"
770,9874,2330,6481.660000000002,-9353.343250000002,-2871.6832500000014,"('24.999522', '121.506772')"
559,9227,2330,7404.835500000001,-10246.55475,-2841.7192499999987,"('25.045055', '121.511507')"
464,888A,2330,24810.414500000006,-27617.212000000003,-2806.797499999997,"('25.044307', '121.515075')"
167,538j,2330,9450.6545,-12175.20375,-2724.5492500000023,"('25.039183', '121.550365')"
741,983N,2330,3969.0679999999998,-6691.405000000002,-2722.3370000000004,"('25.024875', '121.546068')"
166,538a,2330,12345.13825,-14976.375249999996,-2631.236999999997,"('25.048774', '121.524667')"
154,538A,2330,12345.13825,-14976.375249999996,-2631.236999999997,"('22.630868', '120.301117')"
599,9307,2330,6695.97125,-9298.90275,-2602.931500000001,"('25.034921', '121.543352')"
630,9369,2330,1409.9729999999995,-4007.0359999999996,-2597.063,"('25.080635', '121.481825')"
738,983G,2330,4498.564750000001,-7060.414500000001,-2561.8497500000008,"('25.045207', '121.459655')"
727,982A,2330,3427.53,-5975.0915,-2547.5615,"('24.679254', '121.772016')"
524,9205,2330,9765.584,-12311.17025,-2545.5862500000007,"('25.067384', '121.496228')"
388,8151,2330,4501.4435,-7046.3725,-2544.929,"('25.054158', '121.537281')"
408,8459,2330,2312.2035,-4800.39375,-2488.19025,"('23.468166', '120.443655')"
163,538P,2330,8016.3485,-10320.13125,-2303.7827499999985,"('22.854394', '120.26153')"
284,6386,2330,5182.5059999999985,-7413.750749999998,-2231.24475,"('23.711932', '120.434329')"
234,592V,2330,4670.498000000001,-6867.203500000001,-2196.705500000001,"('25.063017', '121.521848')"
253,592v,2330,4670.498000000001,-6867.203500000001,-2196.705500000001,"('24.993339', '121.313779')"
622,9343,2330,2975.48,-5150.253750000002,-2174.7737500000007,"('24.68636369', '120.91302342')"
359,7070,2330,3334.2049999999995,-5483.328,-2149.123,"('24.25456', '120.727251')"
767,9871,2330,10603.26925,-12700.103,-2096.83375,"('25.04115', '121.556267')"
299,6910,2330,5091.11875,-7160.619749999997,-2069.5009999999984,"('25.036314', '121.532235')"
200,585Z,2330,9006.41325,-10978.88975,-1972.4765000000007,"('25.053603', '121.533337')"
862,9A9r,2330,2131.27525,-4032.794,-1901.51875,"('22.660478', '120.296905')"
844,9A9R,2330,2131.27525,-4032.794,-1901.51875,"('25.033462', '121.551039')"
56,1165,2330,6242.7145,-8132.359749999999,-1889.6452499999987,"('25.008613', '121.458841')"
38,1113,2330,967.36075,-2837.4175,-1870.05675,"('22.640754', '120.306572')"
686,9813,2330,4730.254999999999,-6558.1625,-1827.9075000000007,"('25.048127', '121.551673')"
49,111F,2330,2641.0835,-4461.32475,-1820.24125,"('22.628228', '120.307803')"
749,984C,2330,6106.69275,-7925.241249999999,-1818.5484999999992,"('24.973013', '121.539514')"
737,983B,2330,4296.7429999999995,-6092.52475,-1795.7817499999994,"('22.987374', '120.223463')"
126,5110,2330,2607.14475,-4379.1165,-1771.9717500000004,"('25.051997', '121.546126')"
303,6915,2330,1578.618,-3341.806,-1763.1879999999994,"('25.033341', '121.555368')"
349,700w,2330,5060.9627500000015,-6818.3915,-1757.4287499999994,"('25.052992', '121.459574')"
331,700W,2330,5060.9627500000015,-6818.3915,-1757.4287499999994,"('25.046881', '121.513106')"
593,9297,2330,2185.323250000001,-3918.32025,-1732.9969999999994,"('24.171581', '120.693441')"
304,6950,2330,4638.561,-6315.359,-1676.7979999999998,"('25.16949116', '121.44149707')"
458,8883,2330,5541.839,-7214.54775,-1672.7087499999998,"('25.053154', '121.532807')"
6,1028,2330,3820.33125,-5478.472,-1658.1407499999993,"('24.0820056', '120.5422723')"
11,102F,2330,6688.999000000002,-8313.96425,-1624.9652500000002,"('24.165313', '120.661594')"
425,8564,2330,9071.11425,-10687.88175,-1616.7675,"('22.984301', '120.224882')"
4,1024,2330,3824.0942499999987,-5434.69075,-1610.5965000000006,"('23.48046', '120.448328')"
5,1025,2330,6054.71625,-7657.34125,-1602.625000000001,"('25.129819', '121.742367')"
118,2180,2330,9916.65275,-11457.723999999998,-1541.0712500000006,"('25.043125', '121.513069')"
275,6168,2330,2487.0349999999994,-3940.61325,-1453.5782500000007,"('23.479678', '120.446045')"
525,9206,2330,6805.088500000002,-8244.192,-1439.1034999999986,"('22.630513', '120.318438')"
178,5854,2330,14854.764250000002,-16261.67975,-1406.9154999999973,"('25.044579', '121.511374')"
20,1037,2330,3353.2285,-4697.468750000001,-1344.2402500000007,"('23.98265843', '121.60527155')"
99,1261,2330,1615.7005,-2957.4805,-1341.7800000000002,"('25.059584', '121.564726')"
280,6381,2330,1712.1747499999994,-3050.64225,-1338.4675000000004,"('23.9621456', '120.4810277')"
