Id,index,Latitude_and_Longitude
1101,台北市中山北路2段113號,"('25.060594', '121.523201')"
1102,台北市大安區敦化南路2段207號30、31樓,"('25.026038', '121.549202')"
1103,台北市中山北路2段96號,"('25.059532', '121.522621')"
1104,台北市南京東路二段125號10樓,"('25.05223', '121.534539')"
1108,台北市松江路237號15樓,"('25.059013', '121.533445')"
1109,台北市寶慶路37號7樓,"('25.041677', '121.510193')"
1110,高雄市前金區五福三路21號4樓之1,"('22.622344', '120.299796')"
1201,台北市松江路125號,"('25.053006', '121.533223')"
1203,台北市中山北路二段79號5樓,"('25.05822', '121.523064')"
1210,台南市永康區蔦松二街三號,"('23.040966', '120.253706')"
1213,新北市三重區重陽路三段99號10樓,"('25.068189', '121.490439')"
1215,台北市松江路八十七號十七樓,"('25.050492', '121.533181')"
1216,71001台南市永康區中正路301號,"('23.975744', '120.979772')"
1217,嘉義縣民雄鄉工業二路11號,"('23.521406', '120.431251')"
1218,彰化縣田中鎮興工路6號,"('23.8489333', '120.5927705')"
1219,台中市沙鹿區沙田路45號,"('24.231511', '120.558302')"
1220,台北市中山區南京東路二段206號6樓,"('25.051844', '121.53581')"
1225,台中市大肚區沙田路一段453號,"('24.122953', '120.564212')"
1227,台北市仁愛路三段136號5樓,"('25.037528', '121.541412')"
1229,(103)臺北市大同區承德路一段44號6樓,"('23.975744', '120.979772')"
1231,台北市迪化街一段148號,"('25.05772', '121.509567')"
1232,台南市官田區二鎮里工業西路32號,"('23.213817', '120.320292')"
1233,台北市忠孝東路4段107號6樓,"('25.041763', '121.548271')"
1234,台北市信義路四段296號3樓,"('25.032921', '121.554578')"
1235,高雄市仁武區高楠公路10號,"('22.690587', '120.321755')"
1236,新北市新店區寶興路45巷8弄3號5樓,"('24.974834', '121.550415')"
1256,"Genesis Close, PO Box 446, Cayman Islands, KY1-1106","('19.2962', '-81.3823843')"
1301,高雄市仁武區水管路100號,"('22.705646', '120.335055')"
1303,台北市敦化北路201號,"('25.056636', '121.549405')"
1304,台北市內湖區基湖路37號12樓,"('25.079552', '121.564839')"
1305,台北市內湖區基湖路37號12樓,"('25.079552', '121.564839')"
1307,高雄市三民區通化街120號,"('22.644633', '120.29315')"
1308,高雄市林園區工業一路3號,"('22.50646235', '120.40844471')"
1309,台北市內湖區基湖路37號12樓,"('25.079532,', '121.562921')"
1310,台北市羅斯福路一段六號八樓之一,"('25.033259', '121.517573')"
1312,臺北市南京東路四段1號10樓,"('25.051947', '121.549608')"
1313,台北市南港區南港路一段209號A棟9樓,"('25.055081', '121.611409')"
1314,高雄市大社區經建路1號,"('22.725856', '120.340322')"
1315,台中市西屯區工業區35路51號,"('24.16728', '120.591386')"
1316,台南市安平區永華路二段248號20樓之6,"('22.990213', '120.180033')"
1319,台南市安和路二段98號,"('23.038368', '120.214812')"
1321,"台北市莒光路310號5,6樓","('25.0312777', '121.4958582')"
1323,台南市仁德區勝利路88號,"('22.95774909', '120.257155')"
1324,台北市中山區南京東路3段61號7樓,"('25.052197', '121.538071')"
1325,台北市林森北路372號10樓,"('25.057743', '121.525358')"
1326,彰化市中山路3段359號,"('24.0878067', '120.5614407')"
1337,高雄市鼓山區明誠三路685號12樓,"('22.660642', '120.294806')"
1338,廣東省東莞市厚街鎮橋頭第三工業區,"('23.975744', '120.979772')"
1339,彰化縣鹿港鎮興業路8號,"('24.069111', '120.398687')"
1340,中國福建省晉江市青陽蓮嶼工業區,"('23.975744', '120.979772')"
1341,越南海防市陽京郡海城坊范文同路第9里程,"('23.975744', '120.979772')"
1402,台北市大安區敦化南路二段207號36樓,"('25.026038', '121.549202')"
1409,台北市中山區南京東路二段123號8、12樓,"('25.052233', '121.533704')"
1410,桃園市蘆竹區南山路三段二三三號,"('25.083276', '121.285403')"
1413,台北市內湖區瑞光路607號7樓,"('25.080175', '121.566847')"
1414,台北市仁愛路四段376號13樓,"('25.037378', '121.555759')"
1416,桃園市八德區介壽路一段728號,"('24.965038', '121.29907')"
1417,臺北市仁愛路四段25號7樓,"('25.038224', '121.544732')"
1418,台北市新生南路1段56號9樓,"('25.04095', '121.532506')"
1419,台北市南京東路二段123號11樓,"('25.052233', '121.533704')"
1423,台北市忠孝東路四段310號12樓,"('25.041137', '121.557037')"
1432,台中市東區復興路4段186號9樓,"('24.13549', '120.687697')"
1434,雲林縣斗六市榴中里石榴路317號,"('23.727341', '120.58815')"
1435,新北市中和區景平路666號2樓,"('25.000795', '121.497447')"
1436,台北巿中正區愛國東路22號14樓,"('25.034257', '121.51775')"
1437,台北市大安區忠孝東路4段320號9樓,"('25.041137', '121.557295')"
1438,桃園市中壢區民族路6段638號2樓,"('24.964612', '121.152569')"
1439,台北市信義區忠孝東路四段557之1號19樓,"('25.041759', '121.563268')"
1440,台南市東區裕農路511號,"('22.988693', '120.233033')"
1441,台北市松山區南京東路三段346號3樓,"('25.051589', '121.548049')"
1442,新北市五股區成泰路一段189巷16號5樓,"('25.076711', '121.433928')"
1443,台北市大同區西寧北路70號6樓,"('25.053839', '121.508619')"
1444,104台北市松江路162號11樓,"('23.975744', '120.979772')"
1445,台北市西寧北路62-5號7樓,"('25.053017', '121.508494')"
1446,台南市永康區中山南路473號,"('23.022362', '120.248542')"
1447,104台北市松江路162號6樓,"('23.975744', '120.979772')"
1449,台南市新市區三舍里207號,"('23.07894053', '120.2950867')"
1451,苗栗縣後龍鎮東明里下浮尾119-3號,"('24.62655', '120.799662')"
1452,台北市塔城街66號6樓,"('25.05314', '121.510175')"
1453,台北市敦化南路二段71號6樓,"('25.030362', '121.549164')"
1454,台北市西寧北路70-1號8樓,"('25.053975', '121.508656')"
1455,台北市西寧北路七十號二樓,"('25.052113', '121.508631')"
1456,台北市內湖區內湖路一段392號12樓之1,"('25.08069', '121.572891')"
1457,台北市內湖區瑞光路607號7樓,"('25.0802577', '121.5646372')"
1459,台北市環河北路1段73號5樓之5,"('25.052843', '121.507416')"
1460,台南市山上區明和里256號,"('23.10364324', '120.3523796')"
1463,桃園市大園區大工路一二六號,"('25.072965', '121.17771')"
1464,台南市新市區三舍里240號,"('23.07894053', '120.2950867')"
1465,台北市西寧北路62-5號7樓之1,"('25.053017', '121.508494')"
1466,彰化縣埔鹽鄉永樂村番金路94號,"('23.9984744', '120.4279531')"
1467,717台南市仁德區新田里義林路126號,"('23.975744', '120.979772')"
1468,桃園縣蘆竹鄉南崁路一段277號,"('25.053322', '121.283062')"
1470,北市塔城街64號4樓,"('25.052934', '121.5102')"
1471,新北市五股區五權七路18號3樓,"('25.066534', '121.448377')"
1472,台北市大同區西寧北路62-5號9樓,"('25.053017', '121.508494')"
1473,台南市歸仁區中山路三段320號,"('22.968636', '120.280255')"
1474,彰化縣伸港鄉全興工業區工西一路60號,"('24.1683112', '120.5079188')"
1475,桃園市中壢區西園路138號(2樓),"('24.981833', '121.234069')"
1476,新北市五股區五權路28號,"('25.066764', '121.450581')"
1477,台北市忠孝東路四段550號8樓,"('25.041055', '121.563095')"
1503,台北市中山北路六段88號16樓,"('25.104983', '121.52497')"
1504,台北市南港區三重路19-9號5樓,"('25.058084', '121.613893')"
1506,台南市仁德區大甲里中正西路1015號,"('22.922187', '120.200122')"
1507,台北市復興北路99號11樓,"('25.052842', '121.544234')"
1512,高雄市仁武區高楠公路廿二號,"('22.705236', '120.324055')"
1513,新北市中和區中正路801號3樓,"('25.00099', '121.484715')"
1514,台北市南港區三重路19-11號12樓,"('25.058266', '121.613908')"
1515,台中市大里區仁化路261號,"('24.094107', '120.71397')"
1516,台北市信義區光復南路495號6樓之5,"('25.03249', '121.557848')"
1517,彰化縣彰化市石牌里石牌路一段112號,"('24.0572102', '120.6149941')"
1519,桃園市中壢區吉林路10號,"('24.97886', '121.240918')"
1521,台南市新信路11號,"('22.972156', '120.180266')"
1522,台南市新樂路72之2號,"('22.969274', '120.173644')"
1524,338桃園市蘆竹區內溪路48號,"('23.975744', '120.979772')"
1525,桃園市楊梅區新江路100號,"('24.896688', '121.141376')"
1526,桃園市蘆竹區海山中街51號,"('25.107224', '121.26037')"
1527,台中市工業區36路24號,"('24.172547', '120.590644')"
1528,台北市中山北路6段88號5樓,"('25.104983', '121.52497')"
1529,台南市北區成功路114號7樓之1,"('22.998777', '120.205416')"
1530,新竹縣新埔鎮文山里關埔路水車頭段629號,"('24.821963', '121.06509')"
1531,台北市松山區105民生東路三段128號11樓,"('25.04987786', '121.5772327')"
1532,台北市106大安區仁愛路四段八十五號四樓,"('24.98972977', '121.57004896')"
1533,台中市大雅區中清路4段85號,"('24.226807', '120.643122')"
1535,高雄市前鎮區806民權二路八號八樓,"('22.58656748', '120.31836792')"
1536,台中市大里區仁化路115號,"('24.091987', '120.72161')"
1537,南投市自立三路6號,"('23.931353', '120.66321')"
1538,320 桃園市中壢區大圳路三段93號,"('24.982867', '121.186328')"
1539,台中市太平區中南路135號,"('24.121831', '120.713588')"
1540,台中縣神岡鄉中山路1056號,"('24.254995', '120.672995')"
1541,台中市后里區南村路41號,"('24.294645', '120.722463')"
1558,台中市太平區永成路78號,"('24.115826', '120.708647')"
1560,新北市鶯歌區中山路64號,"('24.957727', '121.35169')"
1568,62154嘉義縣民雄鄉福樂村中山路18號,"('23.975744', '120.979772')"
1582,新北市中和區建康路168號9樓,"('25.000139', '121.491136')"
1583,台中市西屯區協和里工業區五路十三號,"('24.165237', '120.608003')"
1587,(52861)彰化縣芳苑鄉後寮村工區路28號,"('23.975744', '120.979772')"
1589,台北市內湖區新湖一路93號4樓,"('25.05858', '121.576055')"
1590,台北市民生東路三段129號4樓,"('25.057978', '121.547648')"
1592,台南市安平區慶平路573號10樓,"('22.997511', '120.169768')"
1598,(104)台北市中山區松江路111號12樓,"('23.975744', '120.979772')"
1603,台北市中山區中山北路三段58號4樓,"('25.071917', '121.523525')"
1604,桃園市龜山區大華里頂湖26-3號,"('24.99267322', '121.3377571')"
1605,台北市信義區松智路1號25樓,"('25.038787', '121.566065')"
1608,高雄巿前金區中正四路170號,"('22.629358', '120.29495')"
1609,台南市關廟區中山路二段249號,"('22.961543', '120.316082')"
1611,台北市敦化北路170號6樓B室,"('25.056672', '121.548541')"
1612,桃園市328觀音區樹林里國建一路2號,"('24.99304812', '121.30107123')"
1614,台北市中山區松江路266號10F,"('25.059342', '121.53292')"
1615,雲林縣斗六市雲林路三段369號,"('23.691872', '120.51364')"
1616,台北市中正區仁愛路二段九十一巷一號一樓,"('25.038579', '121.53172')"
1617,台南市仁德區中正路三段231號,"('22.97828909', '120.254628')"
1618,台北市忠孝東路一段85號19樓,"('25.044216', '121.526693')"
1626,台南市新忠路11號,"('22.979056', '120.182546')"
1701,北市中正區襄陽路二十三號,"('25.04349', '121.515223')"
1702,台北市延平北路四段100號,"('25.071558', '121.510752')"
1707,桃園市平鎮區金陵路二段402號,"('24.933839', '121.225073')"
1708,台北市敦化南路2段99號23樓,"('25.028826', '121.549162')"
1709,台北市南京東路二段二Ｏ六號十四樓,"('25.052058', '121.530085')"
1710,台北市復興北路101號13樓,"('25.05299', '121.544245')"
1711,台北市敦化南路二段77號5~6樓,"('25.030195', '121.549291')"
1712,臺中市大肚區南榮路101號1樓,"('24.111764', '120.580456')"
1713,台北市忠孝東路四段320號12樓,"('25.041137', '121.557295')"
1714,高雄市仁武區竹後里竹工二巷1號,"('22.70094241', '120.34799005')"
1717,高雄市三民區建工路578號,"('22.650149', '120.323951')"
1718,高雄市大社區經建路8號,"('22.725984', '120.338966')"
1720,台南市新營區土庫里土庫6-20號,"('23.322095', '120.339622')"
1721,台中市西區中興街229號5樓,"('24.151924', '120.662829')"
1722,台北市南京東路二段88號六樓,"('25.051782', '121.530985')"
1723,高雄市前鎮區成功二路88號25樓,"('22.60474235', '120.30187471')"
1724,桃園市桃園區中正路1071號19樓,"('25.01633', '121.29786')"
1725,台北市民生東路四段五十四號三樓之三,"('25.057779', '121.551012')"
1726,高雄市小港區沿海三路26、28號,"('22.52949', '120.372579')"
1727,桃園市觀音區樹林里工業五路15號,"('25.055909', '121.11658')"
1730,台北市承德路三段230號13樓,"('25.072374', '121.5185')"
1731,台北市復興北路167號5樓,"('25.053901', '121.544285')"
1732,新竹縣湖口鄉勝利村實踐路19號,"('24.86647', '121.01622')"
1733,新竹科學園區新竹巿力行五路七號,"('24.76531', '121.019187')"
