,合條件的個數
1101,1
1102,1
1103,2
1104,0
1108,3
1109,3
1110,3
1201,1
1203,3
1210,2
1213,2
1215,2
1216,3
1217,1
1218,3
1219,4
1220,3
1225,3
1227,5
1229,0
1231,1
1232,4
1233,1
1234,1
1235,1
1236,2
1256,1
1301,1
1303,2
1304,3
1305,4
1307,1
1308,2
1309,4
1310,2
1312,2
1313,1
1314,2
1315,2
1316,0
1319,1
1321,4
1323,4
1324,3
1325,4
1326,2
1337,2
1338,2
1339,4
1340,2
1341,2
1402,0
1409,1
1410,4
1413,0
1414,1
1416,0
1417,3
1418,3
1419,0
1423,3
1432,0
1434,0
1435,2
1436,0
1437,2
1438,3
1439,2
1440,1
1441,0
1442,2
1443,0
1444,1
1445,3
1446,1
1447,1
1449,0
1451,2
1452,3
1453,3
1454,3
1455,1
1456,1
1457,1
1459,0
1460,0
1463,4
1464,1
1465,3
1466,1
1467,0
1468,1
1470,4
1471,0
1472,0
1473,1
1474,1
1475,0
1476,4
1477,2
1503,2
1504,1
1506,0
1507,0
1512,0
1513,1
1514,3
1515,3
1516,4
1517,3
1519,1
1521,2
1522,0
1524,1
1525,0
1526,4
1527,4
1528,1
1529,2
1530,3
1531,3
1532,0
1533,1
1535,1
1536,0
1537,4
1538,5
1539,0
1540,4
1541,4
1558,4
1560,2
1568,1
1582,4
1583,2
1587,1
1589,2
1590,2
1592,0
1598,0
1603,1
1604,2
1605,0
1608,1
1609,1
1611,3
1612,3
1614,1
1615,1
1616,0
1617,3
1618,3
1626,0
1701,1
1702,0
1707,2
1708,0
1709,1
1710,1
1711,1
1712,1
1713,3
1714,3
1717,3
1718,1
1720,4
1721,2
1722,4
1723,2
1724,2
1725,3
1726,4
1727,1
1730,4
1731,4
1732,4
1733,3
1734,2
1735,2
1736,0
1737,2
1760,3
1762,0
1773,2
1776,3
1783,3
1786,4
1789,3
1795,1
1802,1
1805,0
1806,2
1808,1
1809,3
1810,1
1817,1
1902,3
1903,0
1904,3
1905,1
1906,1
1907,0
1909,1
2002,1
2006,0
2007,0
2008,1
2009,0
2010,2
2012,1
2013,0
2014,0
2015,4
2017,1
2020,1
2022,0
2023,1
2024,1
2025,0
2027,1
2028,0
2029,2
2030,1
2031,1
2032,3
2033,3
2034,2
2038,1
2049,0
2059,4
2062,0
2069,0
2101,1
2102,3
2103,1
2104,2
2105,0
2106,2
2107,4
2108,5
2109,2
2114,4
2115,2
2201,0
2204,4
2206,3
2207,2
2208,1
2227,2
2228,4
2231,3
2233,4
2236,2
2239,0
2243,1
2301,2
2302,1
2303,3
2305,3
2308,2
2312,1
2313,3
2314,3
2316,2
2317,1
2321,0
2323,3
2324,0
2327,2
2328,1
2329,1
2330,3
2331,2
2332,2
2337,5
2338,2
2340,4
2342,3
2344,3
2345,3
2347,2
2348,4
2349,1
2351,2
2352,1
2353,1
2354,2
2355,2
2356,3
2357,1
2358,2
2359,2
2360,3
2362,0
2363,3
2364,0
2365,3
2367,1
2368,3
2369,3
2371,1
2373,2
2374,1
2375,1
2376,4
2377,4
2379,3
2380,0
2382,1
2383,3
2385,0
2387,0
2388,1
2390,4
2392,0
2393,1
2395,3
2397,4
2399,3
2401,3
2402,3
2404,2
2405,2
2406,0
2408,4
2409,2
2412,2
2413,1
2414,4
2415,2
2417,3
2419,3
2420,3
2421,3
2423,4
2424,0
2425,3
2426,3
2427,1
2428,4
2429,0
2430,0
2431,2
2433,3
2434,0
2436,3
2438,2
2439,1
2440,0
2441,4
2442,1
2443,0
2444,0
2448,2
2449,3
2450,1
2451,4
2453,2
2454,4
2455,4
2456,1
2457,3
2458,2
2459,4
2460,1
2461,3
2462,2
2464,2
2465,0
2466,3
2467,3
2468,3
2471,3
2472,3
2474,4
2476,2
2477,3
2478,4
2480,2
2481,2
2482,4
2483,3
2484,3
2485,2
2486,1
2488,2
2489,3
2491,3
2492,3
2493,5
2495,3
2496,1
2497,1
2498,2
2499,0
2501,0
2504,2
2505,1
2506,1
2509,2
2511,2
2514,2
2515,3
2516,1
2520,1
2524,3
2527,0
2528,2
2530,2
2534,0
2535,0
2536,1
2537,1
2538,2
2539,2
2540,2
2542,0
2543,0
2545,0
2546,3
2547,1
2548,1
2597,2
2601,1
2603,1
2605,2
2606,1
2607,2
2608,3
2609,0
2610,0
2611,1
2612,0
2613,0
2614,2
2615,2
2616,0
2617,1
2618,1
2630,1
2633,2
2634,1
2636,1
2637,0
2642,3
2701,3
2702,1
2704,2
2705,0
2706,3
2707,2
2712,1
2722,1
2723,0
2727,0
2731,1
2739,1
2748,1
2801,3
2809,3
2812,3
2816,2
2820,2
2823,3
2832,2
2834,3
2836,3
2838,3
2841,0
2845,3
2849,3
2850,3
2851,4
2852,2
2855,2
2867,3
2880,0
2881,0
2882,3
2883,0
2884,3
2885,3
2886,0
2887,3
2888,3
2889,2
2890,3
2891,4
2892,3
2897,2
2901,3
2903,0
2904,3
2905,2
2906,2
2908,1
2910,1
2911,1
2912,2
2913,1
2915,4
2923,1
2929,2
2936,0
2939,4
3002,3
3003,4
3004,2
3005,2
3006,4
3008,4
3010,3
3011,1
3013,2
3014,4
3015,1
3016,3
3017,0
3018,0
3019,2
3021,2
3022,4
3023,3
3024,1
3025,4
3026,4
3027,3
3028,0
3029,3
3030,4
3031,3
3032,3
3033,1
3034,4
3035,2
3036,1
3037,1
3038,4
3040,4
3041,3
3042,4
3043,0
3044,3
3045,2
3046,0
3047,1
3048,1
3049,1
3050,3
3051,0
3052,1
3054,3
